Common Name,Primary Genre,Combined Genres,TimeBirth,TimeDeath,Birth-Death Text,Abstract,City Text,County text,Personal Website,PSU Catalog Link - HTML,Expanded Biography,PIC_URL,Latitude,Longitude,Photo Credit,Alt Text,City | County | Bio Link,PSU Link | Personal Website
Terrance Hayes,Poetry,Poetry,11/18/1991,1/1/2050,Born: 11/18/1971,"<p>Award-winning poet Terrance Hayes has served on the faculty at the University of Pittsburgh as an English Professor and was featured in the <a href=""https://pabook.libraries.psu.edu/awards-contests/public-poetry-project?field_award_year_value=2006"" target=""_blank"">2006 Public Poetry Project of the Pennsylvania Center for the Book</a>. Read more <a href=""http://terrancehayes.com/about/"" target=""_blank"">here</a>.</p><p>Hayes, Terrance. About. <em>Terrance Hayes website.</em> 2018. 5 November 2018.</p>","Pittsburgh, PA",Allegheny County,https://terrancehayes.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hayes%2C+Terrance"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hayes__Terrance"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Hayes__Terrance.jpg,40.444786,-79.953112,"Photo Credit: University of Pittsburgh. Terrance Hayes, Professor. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://www.writing.pitt.edu/sites/default/files/imagecache/133px/people/images/medium_terrance%20hayes.jpg.",,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hayes__Terrance"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hayes%2C+Terrance"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://terrancehayes.com/"" target=""_blank"">Personal Website</a>"
K. A. Hays,Poetry,Poetry,09/26/2000,1/1/2050,Born: 9/26/1980,"<p>Poet K. A. Hays was born in Phoenixville, Pennsylvania. She earned a Bachelor of Arts (BA) in English from Bucknell University in 2003 and a Masters of Fine Arts (MFA) from Brown University in 2005. Hays' work has been published in a variety of journals and her first book, <em>Dear Apocalypse</em>, was published in 2009<em>. </em>She has also been included in the <em>Best American Poetry 2009</em>. In 2008-2010, Hays was awarded a Stadler Emerging Writer Fellowship at Bucknell University, where she served as an Associate Editor of the university's literary journal, <em>West Branch</em>, for a time and where she continues to teach at the time of this writing. <em>Early Creatures, Native Gods</em> (2012) and <em>Windthrow </em>(2017) are among her other collections.</p>","Lewisburg, PA",Union County,https://www.kahays.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hays%2C+K.+A.+(Katie+Anne)"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hays__Katherine"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Hays__Katherine_Anne.jpg,40.958468,-76.882752,Photo Credit: Amanda Nichols. Photograph of K. A. Hays. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://static1.squarespace.com/static/56aa1157c647ad08eb44f7c2/t/577ea26bff7c50204e0ba550/1467916919241/?format=500w.,,"Lewisburg, PA | Union County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hays__Katherine"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hays%2C+K.+A.+(Katie+Anne)"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.kahays.com/"" target=""_blank"">Personal Website</a>"
Carolyn Haywood,Children's,Children's | Fiction,01/03/1918,1/10/1990,1/3/1898 - 1/10/1990,"<p>Carolyn Haywood was born in Philadelphia in 1898 and was a lifelong resident of that city. After graduating from the Philadelphia High School for Girls and the Philadelphia Normal School in 1922, she spent a year teaching at the Friends Central School in Wynnewood before enrolling in the Pennsylvania Academy of Fine Arts. Her first children's book, <em>""B"" is for Betsy</em>, was published in 1939. Haywood published over 40 titles translated into more than five languages in addition to her accomplishments as a children's portrait painter and mural artist. Haywood died in her Philadelphia home in 1990.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Haywood%2C+Carolyn%2C+1898-1990"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Haywood__Carolyn"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Haywood__Carolyn_0.jpg,40.077777,-75.209312,Photo Credit: Carolyn Haywood. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Unknown. ,,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Haywood__Carolyn"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Haywood%2C+Carolyn%2C+1898-1990"" target=""_blank"">PSU Catalog Link</a>"
Samuel J. Hazo,Poetry,Poetry,07/19/1948,1/1/2050,Born: 7/19/1928,"<p>Samuel Hazo was born on July 19, 1928, in Pittsburgh, Pennsylvania. He earned his BA from the University of Notre Dame in 1948. Hazo returned to Pittsburgh to attend&nbsp;Duquesne University, where he received his MA in 1955. He further continued his education by earning his PhD from the University of Pittsburgh in 1957. In 1993, he was the first poet laureate of Pennsylvania. Hazo is the author of over 30 books of poetry and has also been a commentator and narrator on National Public Radio (NPR), Newsradio 1020 KDKA, based in Pittsburgh, Pennsylvania. Hazo is the Founder of the International Poetry Forum in Pittsburgh, Pennsylvania, and the McAnulty Distinguished Professor Emeritus of English at Duquesne University.</p>","Pittsburgh, PA",Allegheny County,https://www.samhazopoet.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hazo,+Samuel,+1928-"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hazo__Samuel"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Hazo__Samuel.jpg,40.362296,-80.071194,Photo Credit: Photograph of Samuel Hazo. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://www.samhazopoet.com/wp-content/uploads/2017/03/samhazo.jpg.,,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hazo__Samuel"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hazo,+Samuel,+1928-"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.samhazopoet.com"" target=""_blank"">Personal Website</a>"
Florence Parry Heide,Children's,Children's | Poetry,02/27/1939,10/24/2011,2/27/1919 - 10/24/2011,"<p>Children's author Florence Parry Heide was born and raised in Pittsburgh, Pennsylvania. She spent summers in her mother's hometown of Punxsutawney. After completing her education at the Ellis School, she attended Wilson College and then the University of California at Los Angeles, earning an English degree. She wrote over 100 books, both independently and in collaboration with Sylvia van Clief and her children. On October 24, 2011, Heide died at the age of 92.</p>","Pittsburgh, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Heide%2C+Florence+Parry"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Heide__Florence_Parry"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Heide__Florence_Parry.jpg,40.453874,-79.918221,Photo Credit: Penguin Random House Canada. Photograph of Florence Parry Heide. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Penguin Random House Canada. Source: Online Resource. Source: https://images.randomhouse.com/author/12481.,,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Heide__Florence_Parry"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Heide%2C+Florence+Parry"" target=""_blank"">PSU Catalog Link</a>"
Kathryn Hellerstein,Poetry,Poetry | Fiction,01/01/1972,1/1/2050,Born: 1952,"<p><strong>Photo Credit: </strong>Penn Today. ""<a href=""https://penntoday.upenn.edu/sites/default/files/styles/archive/public/Hellerstein%20Kathryn%20570%20x%20370.jpg?itok=q1Ko-7Bs"">Photograph of Kathryn Hellerstein.</a>"" Photograph. Licensed under <a href=""https://www.copyright.gov/fair-use/more-info.html"">Fair Use</a>. Cropped to 4x3. Source: Online Resource. </p>","Philadelphia, PA",Philadelphia County,http://www.kathrynhellerstein.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hellerstein,+Kathryn"" target=""_blank"">PSU Catalog Link</a>",,https://pabook.libraries.psu.edu/sites/default/files/biosimages/Hellerstein__Kathryn.jpg,39.951178,-75.195091,Photo Credit: Penn Today. Photograph of Kathryn Hellerstein. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://penntoday.upenn.edu/sites/default/files/styles/archive/public/Hellerstein%20Kathryn%20570%20x%20370.jpg?itok=q1Ko-7Bs.,,"Philadelphia, PA | Philadelphia County","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hellerstein,+Kathryn"" target=""_blank"">PSU Catalog Link</a> | <a href=""http://www.kathrynhellerstein.com/"" target=""_blank"">Personal Website</a>"
Linda Oatman High,Young Adult (YA),Young Adult (YA) | Fiction,04/28/1978,1/1/2050,Born: 4/28/1958,"<p>Linda Oatman High was born on April 28, 1958, in Ephrata, Pennsylvania. Her big break in writing came in 1993, when she earned a scholarship to the Highlights Foundations Writers Workshops at Chautauqua. She has produced over twenty books for children taking place in the Lancaster area.</p>","Ephrata, PA",Lancaster County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=High%2C+Linda+Oatman"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/High__Linda_Oatman"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/High__Linda_Oatman.jpg,40.16492,-75.913103,"Photo Credit: Sonya Sones. Linda Oatman High, faculty at The Highlights Foundation. 1 Oct 2012. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://www.lindaoatmanhigh.com/uploads/1/6/6/3/1663415/9809914_orig.jpg.",,"Ephrata, PA | Lancaster County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/High__Linda_Oatman"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=High%2C+Linda+Oatman"" target=""_blank"">PSU Catalog Link</a>"
Suzanne Hilton,Nonfiction,Nonfiction | Children's,09/03/1942,6/25/2013,9/3/1922 - 6/25/2013,"<p>Born in Pittsburgh in 1922, Suzanne Hilton moved to California at an early age, eventually returningto Pennsylvania and graduating from Arcadia University (formerly Beaver College). As an author of historical nonfiction books for children, Hilton researched diaries and letters from early America in developing the characters and environments of historical figures that were absent from textbooks. Among herhonors was a Golden Spur Award (1981). Hilton passed away on June 6, 2013.</p>","Jenkintown, PA",Montgomery County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hilton%2C+Suzanne"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hilton__Suzanne"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Hilton__Suzanne.jpg,40.091441,-75.164884,"Photo Credit: The News Tribune (Tacoma). Photograph of Suzanne Hilton. ca. 2013. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://cache.legacy.net/legacy/images/cobrands/Tribnet/photos/C0A801550f4f935F6Doum1881DA3_0_81005ce88c41a3e781c79634a483aecc_043000.jpg.",,"Jenkintown, PA | Montgomery County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hilton__Suzanne"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hilton%2C+Suzanne"" target=""_blank"">PSU Catalog Link</a>"
Anna Grossnickle Hines,Children's,Children's | Fiction,07/13/1966,1/1/2050,Born: 7/13/1946,"<p>Children's author and illustrator Anna Grossnickle Hines was born in Ohio in 1946. In early life she aspired to be a children’s book illustrator, and she later fulfilled her ambitions as an author-illustrator of the genre. Most of her life has been spent in California, writing books that teach children about kindness, friendship, and appreciating nature, among other topics. Hines and her husband moved to Milford, Pennsylvania in 1990, during which time she wrote prolifically.</p>","Milford, PA",Pike County,http://www.aghines.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hines%2C+Anna+Grossnickle"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hines__Anna_Grossnickle"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Hines__Anna_Grossnickle.jpg,41.322316,-74.802388,Photo Credit: Photograph of Anna Grossnickle Hines. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://www.aghines.com/anna_html_pages/Bio_family_images/anna042003.jpg.,,"Milford, PA | Pike County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hines__Anna_Grossnickle"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hines%2C+Anna+Grossnickle"" target=""_blank"">PSU Catalog Link</a>"
Le Hinton,Poetry,Poetry,05/07/1972,1/1/2050,Born: 5/7/1952,"<p>Le Hinton was born in Harrisburg, Pennsylvania, and has spent the majority of his life in Lancaster, where he hosts the monthly Lancaster Poetry Exchange, solicits work for his poetry press, Iris G. Press, and literary magazine, <em>Fledgling Rag</em>, and writes his own poetry. His poems have appeared in <em>Watershed</em>, <em>Little</em> <em>Patuxent Review, </em>and others. Hinton's poem, ""Epidemic,"" was selected for publication in the <a href=""https://www.pabook.libraries.psu.edu/awards-contests/public-poetry-project?field_award_year_value=2014"" target=""_blank"">Public Poetry Project by the Pennsylvania Center for the Book</a> in 2014. He is the author of multiple poetry collections, including <em>The Language of Moisture and Light</em> (2014) and <em>Sing Silence </em>(2018).</p>","Lancaster, PA",Lancaster County,https://www.lehinton.com/,,"<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hinton_Le"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Hinton__Le.jpg,40.048682,-76.310865,"Photo Credit: Photograph of Le Hinton. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://static.wixstatic.com/media/a9d85e_5a679ede4376403c9e5321c537a82b58~mv2_d_5760_3840_s_4_2.jpg/v1/crop/x_1151,y_0,w_3457,h_3840/fill/w_497,h_552,al_c,q_80,usm_0.66_1.00_0.01/a9d85e_5a679ede4376403c9e5321c537a82b58~mv2_d_5760_3840_s_4_2.jpg.",,"Lancaster, PA | Lancaster County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hinton_Le"" target=""_blank"">Expanded Biography</a>","<a href=""https://www.lehinton.com/"" target=""_blank"">Personal Website</a>"
Tana Hoban,Children's,Children's,02/20/1937,1/27/2006,2/20/1917 - 1/27/2006,"<p>Born on February 20, 1917, in Philadelphia, Tana Hoban took up drawing and aspired to become an illustrator before discovering photography at the School of Design for Women. After doing freelance work for numerous publications as an advertising photographer, Hoban published a series of ""concept books"" for children. Her style, hailed as a revolutionary concept, uses pictures of everyday objects and little text in helping young readers understand basic symbols in the world around them. Tana Hoban passed away in Paris in 2006.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hoban%2C+Tana"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hoban__Tana"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Hoban__Tana.jpg,40.032622,-75.148701,"Photo Credit: Gail Alexander. Photograph of Tana Hoban. ca. 1991. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://images-na.ssl-images-amazon.com/images/I/51y5J7YoTAL._US230_.jpg.",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hoban__Tana"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hoban%2C+Tana"" target=""_blank"">PSU Catalog Link</a>"
Russell Hoban,Children's,Children's,02/04/1945,12/14/2011,2/4/1925 - 12/14/2011,"<p>Russell Hoban, born in Landsdale in 1925, was a children's fantasy/science-fiction author renowned both in the United Kingdom and the United States. Several of his books were made into plays or motion pictures, most notably <em>Riddley Walker</em> (1980), <em>The Mouse and His Child</em> (1967), and <em>Turtle Diary </em>(1975). On occasion, Hoban described his books as intended for everyone, not strictly children, as they at times explore deep themes that only older audiences might appreciate.</p>","Lansdale, PA",Montgomery County,https://www.russellhoban.org/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hoban%2C+Russell"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hoban__Russell"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Hoban__Russell.jpg,40.241495,-75.283786,Photo Credit: Lisa Greenstein. Photograph of Russell Hoban. ca. 2005. Photograph. Licensed under CC BY 3.0. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/a/a8/Russell_Hoban_2.jpg.,,"Lansdale, PA | Montgomery County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hoban__Russell"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hoban%2C+Russell"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.russellhoban.org/"" target=""_blank"">Personal Website</a>"
Margaret Hodges,Children's,Children's,07/26/1931,12/13/2005,7/26/1911 - 12/13/2005,"<p>Pittsburgh's ""Story Lady,"" Margaret Moore Hodges was born July 26, 1911, in Indianapolis, Indiana. She moved to Pittsburgh in 1937 and became a literary fixture in the city, reading on the radio and television, working in Pittsburgh public schools, and teaching at the University of Pittsburgh's Graduate School of Library and Information Science. She wrote more than 50 children's books, including 1984 Caldecott Medal winner <em>Saint George and the Dragon: A Golden Legend</em>. Hodges died on December 13, 2005, in Verona, Pennsylvania.</p>","Pittsburgh, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hodges%2C+Margaret%2C+1911-2005"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hodges__Margaret_Moore"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Hodges__Margaret_Moore_0.jpg,40.447406,-79.952658,"Photo Credit: Photograph of Margaret Hodges. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://liber.post-gazette.com/images3/20051216obit_hodges_135.jpg.",,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hodges__Margaret_Moore"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hodges%2C+Margaret%2C+1911-2005"" target=""_blank"">PSU Catalog Link</a>"
Daniel Hoffman,Poetry,Poetry,04/03/1943,3/30/2013,4/3/1923 - 3/30/2013,"<p>Daniel Hoffman launched his lucrative literary career from the city of Philadelphia. Once holding the position that is now known as the Poet Laureate, Hoffman has been regarded by some as one of the most skilled poets ever produced by the United States. His epic poem about the founder of Pennsylvania, William Penn, glorifies the forgotten founding father, giving life to a man most take for granted. His criticism of Edgar Allan Poe injects vivacity into Poe's cold exterior. Lauded for his uncanny consistency and crafty word choice, Hoffman was the recipient of dozens of awards. On March 30, 2013, he died in Haverford, Pennsylvania, at the age of 89.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hoffman%2C+Daniel%2C+1923-2013"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hoffman__Daniel"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Hoffman__Daniel_Gerard.jpg,39.945757,-75.170305,Photo Credit: Elizabeth McFarland. Photograph of Daniel Hoffman. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://www.poets.org/sites/default/files/styles/286x289/public/images/biographies/DanielHoffman_NewBioImage.jpg?itok=oAfiG8i9.,,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hoffman__Daniel"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hoffman%2C+Daniel%2C+1923-2013"" target=""_blank"">PSU Catalog Link</a>"
L. F. Hoffman,Fiction,Fiction | Nonfiction,12/18/1964,6/24/2018,12/18/1944 - 6/24/2018,"<p>Novelist Lynn Hoffman was bornin Brooklyn, New York in 1944. After a life of varied culinary, writing, and teaching experiences, he settled in Philadelphia, Pennsylvania. He published several works, including <em>The Bachelor's Cat</em> (1997), <em>bang BANG </em>(2007), <em>Radiation Days: The Rollicking, Lighthearted Story of a Man and His Cancer </em>(2014), and a number of informational books on food, wine, and beer. Hoffman passed away on June 24, 2018. He was 73.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hoffman,+L.+F.+(Lynn+F.)"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hoffman__Lynn"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Hoffman__Lynn_Francis.jpg,39.952528,-75.19159,Photo Credit: The Bachelor's Cat. ca. 1999. Cover Copy. Licensed under Fair Use. Cropped to 4x3. Source: HarperTorch. Source: Online Resource. Source: https://images.gr-assets.com/books/1183571075l/1435314.jpg.,,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hoffman__Lynn"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hoffman,+L.+F.+(Lynn+F.)"" target=""_blank"">PSU Catalog Link</a>"
James Holding,Fiction,Fiction,04/27/1927,3/29/1997,4/27/1907 - 3/29/1997,"<p>James C.C. Holding was born in Allegheny County in 1907. Educated at Yale, he became an advertising executive in the Pittsburgh branch of the firm BBDO. After 25 years at the company, he retired and began a second career as a writer. Though he wrote 18 children's books, he is best-known as one of the many writers under the pen name""Ellery Queen."" He would write over 250 mysteries for that genre and others. Holding passed away in a Pittsburgh hospital in 1997.</p>","Ben Avon, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Holding%2C+James"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Holding__James_C_C"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Holding__James_CC.jpg,40.508124,-80.083111,"Photo Credit: Laurie Holding. Photograph of James Holding. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: http://queen.spaceports.com/images/oval_holding.jpg.",,"Ben Avon, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Holding__James_C_C"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Holding%2C+James"" target=""_blank"">PSU Catalog Link</a>"
Lee Bennett Hopkins,Children's,Children's | Poetry,04/13/1958,8/8/2019,4/13/1938 - 8/8/2019,"<p>Lee Bennett Hopkins, born in Scranton in 1938, is famous for his work as an anthologist, author, and avid promoter of children's poetry. He has compiled more than 80 anthologies on subjects including animals, weather, school days, sports, U.S. history and geography, and holidays for young people. Though the subjects he chooses are outwardly ordinary, Hopkins treats them in eccentric ways. For example, <em>Hoofbeats, Claws & Rippled Fins: Creature Poems </em>(2001)is about odd pets like tarantulas and how to love them. His anthologies have won widespread acclaim from book critics and include both well-known and newly published works.</p>","Scranton, PA",Lackawanna County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hopkins%2C+Lee+Bennett"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hopkins__Lee_Bennett"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Hopkins__Lee_Bennett.jpg,41.430285,-75.663925,Photo Credit: Photograph of Lee Bennett Hopkins. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://leebennetthopkins.com/wp-content/uploads/2018/05/lbh_profile-639x1024.jpg.,,"Scranton, PA | Lackawanna County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hopkins__Lee_Bennett"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hopkins%2C+Lee+Bennett"" target=""_blank"">PSU Catalog Link</a>"
Francis Hopkinson,Poetry,Poetry | Nonfiction,10/02/1757,5/9/1791,10/2/1737 - 5/9/1791,"<p>Francis Hopkinson was an 18th century ""jack of all trades."" Hopkinson lived from 1737 to 1791 and is most noted for his accomplishments as a poet, essayist, artist, inventor, and composer. Hopkinson was a die-hard patriot and one of the signers of the Declaration of Independence. His literary and artistic works exemplify his patriotic spirit and his enthusiasm for the American cause. Hopkinson's major achievements are the publication of 40 poems as well as the first American opera and the first American songbook. Hopkinson is also credited with designing the American Flag.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hopkinson%2C+Francis%2C+1737-1791"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hopkinson__Francis"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Hopkinson__Francis.jpg,39.954571,-75.146916,"Photo Credit: Image of Francis Hopkinson. ca. 1850. Portrait. Licensed under Public Domain. Cropped to 4x3. Source: Reprinted in The Literary History of Philadelphia by Ellis Paxson Oberholtzer (Philadelphia: George W. Jacobs & Co., 1906. ISBN 1932109455). Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/2/2e/Francis_Hopkinson.jpg.",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hopkinson__Francis"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hopkinson%2C+Francis%2C+1737-1791"" target=""_blank"">PSU Catalog Link</a>"
