Common Name,Vocation,Combined Vocations,TimeBirth,TimeDeath,Birth-Death Text,Abstract,City Text,County text,Personal Website,PSU Catalog Link - HTML,Expanded Biography,PIC_URL,Latitude,Longitude,Photo Credit,Alt Text,City | County | Bio Link,PSU Link | Personal Website
Pinkie Gordon Lane,Literary,Literary,01/13/1943,12/3/2008,1/13/1923 - 12/3/2008,"<p>Pinkie Gordon Lane was born in Philadelphia in 1923. After graduating from Spelman College, she became the first African-American to attain a PhD from Louisiana State University. She began writing poetry influenced by the African-American literature of Gwendolyn Brooks. She taught at Southern University, working her way up to professor and eventually head of the English department. Lane has published five volumes of poetry: <em>Wind Thoughts </em>(1972), <em>Mystic Female </em>(1978), <em>I Never Scream: New and Selected Poems </em>(1985), <em>Girl at the Window </em>(1991), and <em>Elegy for Etheridge</em> (2000). Her highest honor was serving as Poet Laureate of Louisiana from 1989-1992, the first African-American to do so. Lane died in 2008.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lane%2C+Pinkie+Gordon"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Lane__Pinkie_Gordon"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Lane__Pinkie_Gordon.jpg,40.038627,-75.147489,"Photo Credit: Photograph of Pinkie Gordon Lane. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: http://2.bp.blogspot.com/-J61MnjJbvLI/TdaYuCXCN4I/AAAAAAAAAmE/fX4C5SgKjtg/s1600/Lane%252C+Pinkie+Gordon2_2010-03-11.jpg.",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Lane__Pinkie_Gordon"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lane%2C+Pinkie+Gordon"" target=""_blank"">PSU Catalog Link</a>"
Philip Langdon,Literary,Literary,01/06/1967,1/1/2050,Born: 1/6/1947,"<p>Architecture writer Philip Langdon was born in Greenville on January 6, 1947. He attended Allegheny College in Meadville, earning a bachelor's degree. He has held a number of posts with various newspapers and journals, as a reporteror editor, respectively.</p>","Greenville, PA",Mercer County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Langdon%2C+Philip"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Langdon__Philip"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Langdon__Philip.jpg,41.404499,-80.391179,Photo Credit: Philip Langdon / An Island Press Author. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://islandpress.org/sites/default/files/Langdon-web.jpg.,,"Greenville, PA | Mercer County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Langdon__Philip"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Langdon%2C+Philip"" target=""_blank"">PSU Catalog Link</a>"
Mario Lanza,Entertainment,Entertainment,01/31/1941,10/7/1959,1/31/1921 - 10/7/1959,"<p>Mario Lanza, born in 1921 in Philadelphia, was an American tenor and musical film star. His rise to fame in the late 1940s was shadowed by his drinking problems and extreme weight fluctuations, which may have contributed to his early death in 1959. His motion picture debut <em>That Midnight Kiss</em> was a box office hit, and Lanza went on to star in six additional films including <em>The Great Caruso</em>,<em> The Toast of New Orleans</em>, and <em>Because You're Mine</em>. Despite being famous for his operatic voice, Mario Lanza performed on the professional operatic stage only once, in Puccini's <em>Madama Butterfly</em>.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lanza%2C+Mario%2C+1921-1959"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Lanza__Mario"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Lanza__Mario.jpg,39.937973,-75.154576,Photo Credit: Screenshot of Kathryn Grayson and Mario Lanza from the trailer for the film The Toast of New Orleans. ca. 1950. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/b/b6/Kathryn_Grayson_and_Mario_Lanza_in_Toast_of_New_Orleans_trailer.jpg.,,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Lanza__Mario"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lanza%2C+Mario%2C+1921-1959"" target=""_blank"">PSU Catalog Link</a>"
Nancy Larrick,Literary,Literary | Education,12/28/1930,11/14/2004,12/28/1910 - 11/14/2004,"<p>Nancy Larrick, author and anthologist of children's books, teacher, and critic significantly influenced contemporary children's poetry. Through her writings in periodicals and her work as a professor of education at Lehigh University in Bethlehem, she shared with her colleagues her groundbreaking approach to poetry. She published 28 books for or about children. Larrick earned a reputation as a critic and anthologist. She died in 2004.</p>","Quakertown, PA",Bucks County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Larrick%2C+Nancy"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Larrick__Nancy"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Larrick__Nancy.jpg,40.441768,-75.341567,"Photo Credit: Reading Hall of Fame. Nancy Larrick. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://www.readinghalloffame.org/sites/default/files/nancy_larrick.jpg.",,"Quakertown, PA | Bucks County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Larrick__Nancy"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Larrick%2C+Nancy"" target=""_blank"">PSU Catalog Link</a>"
Stan Lathan,Entertainment,Entertainment,07/08/1965,1/1/2050,Born: 7/8/1945,"<p>Stanley Lathan started life in Philadelphia in 1945 and eventually matriculated at The Pennsylvania State University. At Penn State, Lathan developed his talents for writing and directing, which he parlayed into a successful career in both public television and commercial entertainment.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lathan%2C+Stan"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Lathan__Stanley"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Lathan__Stanley.jpg,39.9812,-75.2386,Photo Credit: MayaCryor123. Headshot. 14 Jan 2006. Photograph. Licensed under CC BY-NC-SA 4.0. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/c/c7/Stan_Lathan.jpg.,,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Lathan__Stanley"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lathan%2C+Stan"" target=""_blank"">PSU Catalog Link</a>"
Joey Lawrence,Entertainment,Entertainment,04/20/1996,1/1/2050,Born: 04/20/1976,"<p><strong>Photo Credit: </strong>Parker Knight. ""<a href=""https://upload.wikimedia.org/wikipedia/commons/f/f1/Melissa_Joan_Hart_and_Joey_Lawrence_March_of_Dimes_414_%285673496652%29_%28cropped%29.jpg"">March of Dimes 414.</a>"" 30 Apr 2011. Photograph. Licensed under <a href=""https://creativecommons.org/licenses/by-sa/2.0"">CC BY-SA 2.0</a>. Cropped to 4x3. Source: Wikimedia Commons. </p>","Jenkintown, PA",Montgomery,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lawrence,+Joey,+1976-"" target=""_blank"">PSU Catalog Link</a>",,https://pabook.libraries.psu.edu/sites/default/files/biosimages/Lawrence__Joey.jpg,40.094107,-75.120778,Photo Credit: Parker Knight. March of Dimes 414. 30 Apr 2011. Photograph. Licensed under CC BY-SA 2.0. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/f/f1/Melissa_Joan_Hart_and_Joey_Lawrence_March_of_Dimes_414_%285673496652%29_%28cropped%29.jpg.,,"Jenkintown, PA | Montgomery","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lawrence,+Joey,+1976-"" target=""_blank"">PSU Catalog Link</a>"
Caroline Le Count,Activism,Activism,01/01/1866,1/24/1923,1846 - 1/24/1923,"<p><strong>Photo Credit: </strong>PACFTB. ""Initials of Caroline LeCount."" ca. 2020. Initials. Licensed under <a href=""https://www.copyright.gov/fair-use/more-info.html"">Fair Use</a>. Cropped to 4x3. </p>","Philadelphia, PA",Philadelphia County,,,,https://pabook.libraries.psu.edu/sites/default/files/biosimages/LeCount__Caroline.jpg,39.944611,-75.161022,Photo Credit: PACFTB. Initials of Caroline LeCount. ca. 2020. Initials. Licensed under Fair Use. Cropped to 4x3. ,,"Philadelphia, PA | Philadelphia County",
Ernest W. Lefever,Literary,Literary | Law & Politics,11/12/1939,7/29/2009,11/12/1919 - 7/29/2009,"<p>Political scientist Ernest Lefever was born in York on November 12, 1919. Heheld a number of academic posts as well asworked with several non-governmental organizations. His breakthrough book was <i>Ethics and Public Policy</i>, published in 1957.</p>","York, PA",York County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lefever%2C+Ernest+W."" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Lefever__Ernest"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Lefever__Ernest.jpg,39.961984,-76.749287,Photo Credit: D.L. Gorton/The New York Times. Ernest W. Lefever. ca. 1981. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://static01.nyt.com/images/2009/08/05/us/05lefever.inline.190.jpg.,,"York, PA | York County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Lefever__Ernest"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lefever%2C+Ernest+W."" target=""_blank"">PSU Catalog Link</a>"
Mario Lemieux,Athletics,Athletics,10/05/1985,1/1/2050,Born: 10/5/1965,"<p>Mario Lemieux was born in 1965 in Montreal, Canada. He began playing hockey at a young age and shattered several junior hockey records. Lemieux was drafted first overall in the 1984 NHL draft by the Pittsburgh Penguins and led them to two Stanley Cup trophies. He earned awards for Rookie of the Year, MVP, and points leader. While back problems and Hodgkin's disease forced him to retire, he returned to hockey and bought the franchise. He continues to live in Pittsburgh and raise money for the Mario Lemieux Foundation.</p>","Pittsburgh, PA",Allegheny County,,,"<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Lemieux__Mario"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Lemieux__Mario.jpg,40.439444,-79.989167,Photo Credit: Tony McCune. Mario Lemieux (1992). ca. 1992. Photograph. Licensed under CC BY-SA 2.0. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/8/89/Mario_Lemieux_1992.jpg.,,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Lemieux__Mario"" target=""_blank"">Expanded Biography</a>",
Lyman Lemnitzer,Military,Military,08/29/1919,11/12/1988,8/29/1899 - 11/12/1988,"<p>Lyman Louis Lemnitzer was born in Honesdale, Pennsylvania on August 29, 1899. Lemnitzer began his military career at West Point Military Academy and eventually the Army War College. His career in the armed services covered the time period from World War II all the way up through and including the Cold War. Lemnitzer was appointed Chairman of the Joint Chief of Staff in 1960 by President Eisenhower, which was considered by most to be his most noteworthy achievement. Lemnitzer died on November 12, 1988 in Washington D.C.</p>","Honesdale, PA",Wayne County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lemnitzer,+Lyman+Louis"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Lemnitzer__Lyman"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Lemnitzer__Lyman.jpg,41.579752,-75.260932,"Photo Credit: U.S. Army. General Lyman L. Lemnitzer, US Army. Chief of Staff of the Army, Chairman of the Joint Chiefs of Staff and Supreme Allied Commander, Europe. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: Wikimedia Commons. Source: https://commons.wikimedia.org/w/index.php?curid=1457359.",,"Honesdale, PA | Wayne County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Lemnitzer__Lyman"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lemnitzer,+Lyman+Louis"" target=""_blank"">PSU Catalog Link</a>"
F. Julius LeMoyne,Medicine,Medicine,09/04/1818,10/14/1879,9/4/1798 - 10/14/1879,"<p><strong>Photo Credit: </strong>""<a href=""https://upload.wikimedia.org/wikipedia/commons/5/55/Francis_Julius_LeMoyne_ca_1860.jpg"">F. Julius LeMoyne.</a>"" before 1923. Portrait. Licensed under <a href=""https://creativecommons.org/publicdomain/mark/1.0/deed.en"">Public Domain</a>. Cropped to 4x3. Source: Wikimedia Commons. </p>","Washington, PA",Washington County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=LeMoyne,+Francis+Julius,+1798-1879"" target=""_blank"">PSU Catalog Link</a>",,https://pabook.libraries.psu.edu/sites/default/files/biosimages/LeMoyne__F_Julius.jpg,40.167999,-80.243345,Photo Credit: F. Julius LeMoyne. before 1923. Portrait. Licensed under Public Domain. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/5/55/Francis_Julius_LeMoyne_ca_1860.jpg.,,"Washington, PA | Washington County","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=LeMoyne,+Francis+Julius,+1798-1879"" target=""_blank"">PSU Catalog Link</a>"
Sorche Nic Leodhas,Literary,Literary,05/20/1918,11/14/1969,5/20/1898 - 11/14/1969,"<p>Sorche Nic Leodhas was born<strong> </strong>Leclaire Alger on May 20, 1898, in Youngstown, Ohio. Alger was long-time librarian at the Carnegie Library in Pittsburgh, Pennsylvania, where she also wrote children's books. It was only after Alger's retirement from the library that she began to write and publish Scottish tales for children at an incredible rate. At this same time, Alger adopted the name ""Sorche Nic Leodhas"" Scots Gaelic for ""Claire, daughter of Louis."" She received a Newbery Honor Medal for her work on <em>Thistle and Thyme: Tales and Legends from Scotland</em> (1962), a collection of Scottish legends. Leodhas continued to write and publish books until her death on November 14, 1969.</p>","Pittsburgh, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Leodhas%2C+Sorche+Nic%2C+1898-1969"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Nic_Leodhas__Sorche"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Leodhas__Sorche_Nic.jpg,40.449734,-79.88736,"Photo Credit: Thistle and Thyme - Tales and Legends from Scotland. ca. 1962. Cover Copy. Licensed under Fair Use. Cropped to 4x3. Source: Holt, Rinehart and Winston, Inc. Source: Online Resource. Source: https://images-na.ssl-images-amazon.com/images/I/51IGkVQLT5L._SX341_BO1,204,203,200_.jpg.",,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Nic_Leodhas__Sorche"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Leodhas%2C+Sorche+Nic%2C+1898-1969"" target=""_blank"">PSU Catalog Link</a>"
Raina León,Literary,Literary,04/07/2001,1/1/2050,Born: 4/7/1981,"<p>Dr. Raina J. León was born and raised in Philadelphia, Pennsylvania, and was introduced to poetry by her mother from a young age. She holds multiple degrees, (including a PhD in Education) and has taught for the Department of Defense Education Activity in Bamberg, Germany. Her work has appeared in over 50 literary magazines and journals, and her published poetry collections include: <em>Canticle of Idols</em> (2008) and <em>Boogeyman Dawn</em> (2013). León is a Cave Canem Fellow, as well as the recipient of other fellowships and residencies, and the cofounder of <em>The Acentos Review</em> (2008). At the time of this writing, she is an Assistant Professor at St. Mary's College of California.</p>","Philadelphia, PA",Philadelphia County,https://www.rainaleon.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=León,+Raina+J."" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Leon_Raina"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Leon__Raina.jpg,40.015719,-75.084885,Photo Credit: Raina J. León - Poet.Teacher.Scholar. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://www.rainaleon.com/_Media/shapeimage_5_med.png.,,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Leon_Raina"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=León,+Raina+J."" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.rainaleon.com/"" target=""_blank"">Personal Website</a>"
Buck Leonard,Athletics,Athletics,09/08/1927,11/27/1997,9/8/1907 - 11/27/1997,"<p>Walter ""Buck"" Leonard was born on September 8, 1907, and he grew up in a small town in North Carolina. At an early age he played on multiple semi-pro baseball teams. At the age of 25 he joined the Negro National League, playing for the Grays of Homestead Pennsylvania. He helped lead them to multiple pennants and became one of the first blacks to be inducted into the Baseball Hall of Fame. He died on November 27, 1997.</p>","Homestead, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Leonard%2C+Buck%2C+1907-1997"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Leonard__Buck"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Leonard__Buck.jpg,40.4514,-79.9727,"Photo Credit:  Negro Leagues Baseball Museum. Buck Leonard. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/en/a/af/Buck_Leonard.jpg.",,"Homestead, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Leonard__Buck"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Leonard%2C+Buck%2C+1907-1997"" target=""_blank"">PSU Catalog Link</a>"
Jonathan Letterman,Medicine,Medicine,12/10/1844,3/15/1872,12/10/1824 - 3/15/1872,"<p>Dr. Jonathan Letterman was born on December 11, 1824 in Canonsburg, Washington County, and was a surgeon in the US Army from 1849 to 1864. His contributions to battlefield medicine are regarded as some of the most important to this day. He died on March 15, 1872. In modern times he has become known as the Father of Battlefield Medicine.</p>","Canonsburg, PA",Washington County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Letterman%2C+Jonathan%2C+1824-1872"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Letterman__Jonathan"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Letterman__Jonathan.jpg,40.282887,-80.211398,"Photo Credit: Jonathan Letterman, M.D., bust portrait, facing slightly right. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: Online Resource. Library of Congress.Source: http://hdl.loc.gov/loc.pnp/cph.3c17330.",,"Canonsburg, PA | Washington County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Letterman__Jonathan"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Letterman%2C+Jonathan%2C+1824-1872"" target=""_blank"">PSU Catalog Link</a>"
Oscar Levant,Entertainment,Entertainment,12/27/1926,8/14/1972,12/27/1906 - 8/14/1972,"<p>Born in 1906 to Orthodox Jewish parents from Russia, Levant was raised in a musical family. He began studying piano composition at a young age and, after moving to Hollywood, California, composed music for many movies. Levant was married twice, first to actress Barbara Woodell, and later to actress and singer June Gale, with whom he had three children, Marcia, Lorna, and Amanda. Levant worked in radio and television for many years before he died of a heart attack in Beverly Hills, California, in 1972.</p>","Pittsburgh, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Levant%2C+Oscar%2C+1906-1972"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Levant_Oscar"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Levant__Oscar.jpg,40.438416,-79.985667,Photo Credit: Screenshot of Oscar Levant from the trailer for the film Rhapsody in Blue. ca. 1945. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/8/84/Oscar_Levant_in_Rhapsody_in_Blue_trailer.jpg.,,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Levant_Oscar"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Levant%2C+Oscar%2C+1906-1972"" target=""_blank"">PSU Catalog Link</a>"
Constance Levy,Literary,Literary,05/08/1951,1/1/2050,Born: 5/8/1931,"<p>Constance Levy was born in St. Louis, Missouri on May 8, 1931. She is well-known for her children's books of poetry such as <em>A Crack in the Clouds and Other Poems</em> (1998) and<em> The Story of Red Rubber Ball </em>(2004). Her books have received numerous awards. <em>Splash!: Poems of Our Watery World</em>(2002) won the 2003 Lee Bennett Hopkins Award at the Pennsylvania State University. Levy has worked as an elementary school teacher, children's poet, and an instructor of children's literature.</p>","University Park, PA",Centre County,http://www.constancelevy.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Levy%2C+Constance"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Levy__Constance"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Levy__Constance.jpg,40.798874,-77.865267,"Photo Credit: Constance Levy. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: http://www.constancelevy.com/images/Cropped_constan-210.jpg.",,"University Park, PA | Centre County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Levy__Constance"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Levy%2C+Constance"" target=""_blank"">PSU Catalog Link</a> | <a href=""http://www.constancelevy.com/"" target=""_blank"">Personal Website</a>"
Betsy Lewin,Literary,Literary,03/12/1957,1/1/2050,Born: 3/12/1937,"<p>Betsy Lewin, born in Clearfield, Pennsylvania on May 12,1937, is a Caldecott Honor-winning children's fiction illustrator and writer whose love of the natural world is manifested in her work. Most of her books, and those she has illustrated for others, feature whimsical animal characters. Lewin has seen tremendous success through her collaboration with children's author Doreen Cronin; all three of their collaborative books have made <em>The New York Times</em> Best Sellers list. Read more <a href=""https://www.betsylewin.com/about/biography/"" target=""_blank"">here</a></p><p>Lewin, Betsy. ""Biography."" 18 September 2020.</p>","Clearfield, PA",Clearfield County,https://www.betsylewin.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lewin%2C+Betsy"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Lewin__Betsy"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Lewin__Betsy.jpg,41.02728,-78.439188,"Photo Credit: Larry D. Moore. Betsy Lewin at the 2013 Texas Book Festival, Austin, Texas, United States. ca. 2013. Photograph. Licensed under CC BY-SA 3.0. Cropped to 4x3, Filled background. Source: Wikimedia Commons. Austin, Texas.Source: https://upload.wikimedia.org/wikipedia/commons/0/03/Betsy_lewin_2013.jpg.",,"Clearfield, PA | Clearfield County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Lewin__Betsy"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lewin%2C+Betsy"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.betsylewin.com/"" target=""_blank"">Personal Website</a>"
James Otto Lewis,Art & Design,Art & Design,02/03/1819,11/2/1858,2/3/1799 - 11/2/1858,"<p><strong>Photo Credit: </strong>PACFTB. ""Initials of James Otto Lewis."" ca. 2020. Initials. Licensed under <a href=""https://www.copyright.gov/fair-use/more-info.html"">Fair Use</a>. Cropped to 4x3. </p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lewis,+James+Otto,+1799-1858"" target=""_blank"">PSU Catalog Link</a>",,https://pabook.libraries.psu.edu/sites/default/files/biosimages/Lewis__James.jpg,39.949529,-75.144863,Photo Credit: PACFTB. Initials of James Otto Lewis. ca. 2020. Initials. Licensed under Fair Use. Cropped to 4x3. ,,"Philadelphia, PA | Philadelphia County","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lewis,+James+Otto,+1799-1858"" target=""_blank"">PSU Catalog Link</a>"
E. B. Lewis,Art & Design,Art & Design,12/16/1976,1/1/2050,Born: 12/16/1956,"<p>Earl Bradley Lewis, born on December 16, 1956, is an artist and children's book illustrator originating from northeast Philadelphia. A graduate of the Temple University Tyler School of Art, Lewis began his work as an illustrator after establishing careers in teaching and freelance artwork. His critically-acclaimed illustrations have won prestigious awards such as the Caldecott Honor and Coretta Scott King Award. He currently teaches at the University of the Arts in Philadelphia as an instructor of illustration, and he is also a member of the Society of Illustrators in New York City. He lives in New Jersey with his family and continues to illustrate children's books and teach.</p>","Philadelphia, PA",Philadelphia County,https://eblewis.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lewis%2C+Earl+B."" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Lewis__Earl_Bradley"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Lewis__EB.jpg,39.955634,-75.163439,Photo Credit: E.B. Lewis. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://eblewis.com/wp-content/uploads/2013/06/workshops.jpg.,,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Lewis__Earl_Bradley"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lewis%2C+Earl+B."" target=""_blank"">PSU Catalog Link</a> | <a href=""https://eblewis.com/"" target=""_blank"">Personal Website</a>"
